220#69292元/平米#长江小区#长宁 中山公园 内环内#近2号线江苏路站#房屋户型1室1厅1厨1卫#建筑面积31.75㎡#房屋朝向南#装修情况精装#配备电梯无
699#98368元/平米#桃林一小区#浦东 源深 内环内#近9号线杨高中路站#房屋户型2室1厅1厨1卫#建筑面积71.06㎡#房屋朝向南#装修情况精装#配备电梯无
215#37919元/平米#海尚康庭#浦东 康桥 外环外##房屋户型1室1厅1厨1卫#建筑面积56.7㎡#房屋朝向南#装修情况精装#配备电梯有
1098#115059元/平米#大唐盛世花园#浦东 花木 内环内#近7号线花木路站#房屋户型2室2厅1厨1卫#建筑面积95.43㎡#房屋朝向南 北#装修情况简装#配备电梯有
450#34273元/平米#金榜新苑#闵行 颛桥 外环外##房屋户型3室2厅1厨1卫#建筑面积131.3㎡#房屋朝向南#装修情况毛坯#配备电梯有
377#41824元/平米#保利西子湾#松江 松江大学城 外环外##房屋户型2室2厅1厨1卫#建筑面积90.14㎡#房屋朝向南#装修情况简装#配备电梯有
398#82556元/平米#丽园路574弄#黄浦 五里桥 内环内#近9号线马当路站#房屋户型2室1厅1厨1卫#建筑面积48.21㎡#房屋朝向西南#装修情况精装#配备电梯无
380#107924元/平米#上中路100弄#徐汇 上海南站 内环至中环##房屋户型2室0厅1厨1卫#建筑面积35.21㎡#房屋朝向南#装修情况精装#配备电梯无
259.5#51952元/平米#芳华路253弄#浦东 北蔡 内环至中环#近7号线芳华路站#房屋户型1室1厅1厨1卫#建筑面积49.95㎡#房屋朝向南#装修情况精装#配备电梯无
360#49841元/平米#平吉二村#闵行 古美 中环至外环#近12号线虹莘路站#房屋户型2室1厅1厨1卫#建筑面积72.23㎡#房屋朝向南#装修情况精装#配备电梯无
265#59192元/平米#上缝小区#徐汇 龙华 内环至中环#近3号线龙漕路站#房屋户型1室1厅1厨1卫#建筑面积44.77㎡#房屋朝向南#装修情况简装#配备电梯无
338#67452元/平米#中华小区#长宁 新华路 内环内#近10号线(新江湾城-虹桥火车站)宋园路站#房屋户型2室1厅1厨1卫#建筑面积50.11㎡#房屋朝向南#装修情况精装#配备电梯无
445#50340元/平米#古美西路420弄#闵行 古美 中环至外环#近12号线顾戴路站#房屋户型3室1厅1厨1卫#建筑面积88.4㎡#房屋朝向南#装修情况简装#配备电梯无
880#75941元/平米#金桥爱建园#浦东 碧云 内环至中环#近9号线蓝天路站#房屋户型3室2厅1厨1卫#建筑面积115.88㎡#房屋朝向南#装修情况精装#配备电梯有
620#64004元/平米#东方丽景#浦东 金桥 中环至外环#近6号线巨峰路站#房屋户型2室1厅1厨1卫#建筑面积96.87㎡#房屋朝向南#装修情况精装#配备电梯有
680#54029元/平米#环球翡翠湾花园(公寓)#浦东 三林 中环至外环#近11号线(嘉定北-迪士尼)浦三路站#房屋户型3室2厅1厨2卫#建筑面积125.86㎡#房屋朝向南#装修情况精装#配备电梯有
233#36944元/平米#海尚明城#宝山 杨行 外环外##房屋户型2室2厅1厨1卫#建筑面积63.07㎡#房屋朝向南#装修情况精装#配备电梯有
735#66649元/平米#春申景城湖畔林语#闵行 春申 外环外##房屋户型2室2厅1厨1卫#建筑面积110.28㎡#房屋朝向南 北#装修情况精装#配备电梯有
700#72442元/平米#珠江香樟园#杨浦 周家嘴路 内环至中环#近12号线隆昌路站#房屋户型2室2厅1厨1卫#建筑面积96.63㎡#房屋朝向南 北#装修情况简装#配备电梯有
530#41967元/平米#金铭福邸#闵行 老闵行 外环外#近5号线金平路站#房屋户型3室2厅1厨2卫#建筑面积126.29㎡#房屋朝向南 北#装修情况精装#配备电梯无
272#51312元/平米#岭南路100弄#静安 彭浦 中环至外环#近1号线彭浦新村站#房屋户型2室1厅1厨1卫#建筑面积53.01㎡#房屋朝向南#装修情况精装#配备电梯无
295#37399元/平米#金沙鼎苑#嘉定 江桥 外环外##房屋户型2室2厅1厨1卫#建筑面积78.88㎡#房屋朝向南#装修情况精装#配备电梯有
230#19088元/平米#玉兰二村#嘉定 安亭 外环外##房屋户型2室2厅1厨2卫#建筑面积120.5㎡#房屋朝向南#装修情况简装#配备电梯无
367.5#59844元/平米#三兴大楼#静安 不夜城 内环内#近1号线上海火车站站#房屋户型2室1厅1厨1卫#建筑面积61.41㎡#房屋朝向南#装修情况简装#配备电梯有
445#49816元/平米#万科城市花园#闵行 七宝 外环外#近9号线七宝站#房屋户型2室2厅1厨1卫#建筑面积89.33㎡#房屋朝向南#装修情况精装#配备电梯有
769#67103元/平米#东方城市花园(二期)#浦东 南码头 内环至中环#近6号线上海儿童医学中心站#房屋户型2室2厅1厨1卫#建筑面积114.6㎡#房屋朝向南#装修情况精装#配备电梯有
279#48038元/平米#荷三小区#浦东 金桥 中环至外环#近6号线博兴路站#房屋户型2室1厅1厨1卫#建筑面积58.08㎡#房屋朝向南#装修情况简装#配备电梯无
430#70689元/平米#城市经典(四期)#浦东 张江 内环至中环#近2号线广兰路站#房屋户型1室1厅1厨1卫#建筑面积60.83㎡#房屋朝向南#装修情况精装#配备电梯有
278#49688元/平米#航华四村#闵行 航华 外环外#近10号线(新江湾城-航中路)航中路站#房屋户型2室1厅1厨1卫#建筑面积55.95㎡#房屋朝向南 北#装修情况精装#配备电梯无
1330#70445元/平米#绿城玉兰花园(二期)#浦东 唐镇 外环外#近2号线唐镇站#房屋户型3室2厅1厨2卫#建筑面积188.8㎡#房屋朝向南#装修情况精装#配备电梯无
1150#106581元/平米#瑞虹新城怡庭#虹口 临平路 内环内#近4号线临平路站#房屋户型2室2厅1厨1卫#建筑面积107.9㎡#房屋朝向南#装修情况精装#配备电梯有
269#31648元/平米#瑞和明庭#青浦 华新 外环外##房屋户型3室2厅1厨1卫#建筑面积85㎡#房屋朝向南 北#装修情况简装#配备电梯暂无数据
375#42079元/平米#奥林匹克花园#松江 九亭 外环外##房屋户型2室2厅1厨1卫#建筑面积89.12㎡#房屋朝向南 北#装修情况精装#配备电梯有
465#64917元/平米#浦联佳苑#静安 阳城 内环至中环#近7号线行知路站#房屋户型2室2厅1厨1卫#建筑面积71.63㎡#房屋朝向南#装修情况简装#配备电梯有
370#50293元/平米#凌高小区#浦东 洋泾 内环内##房屋户型2室1厅1厨1卫#建筑面积73.57㎡#房屋朝向东南#装修情况精装#配备电梯有
330#41261元/平米#万业紫辰苑#宝山 杨行 外环外##房屋户型2室2厅1厨1卫#建筑面积79.98㎡#房屋朝向南#装修情况精装#配备电梯有
515#66486元/平米#世华锦城#浦东 三林 内环至中环#近8号线杨思站#房屋户型2室2厅1厨1卫#建筑面积77.46㎡#房屋朝向南#装修情况精装#配备电梯有
490#49505元/平米#剑桥馨苑#闵行 颛桥 外环外##房屋户型2室2厅1厨1卫#建筑面积98.98㎡#房屋朝向南 北#装修情况精装#配备电梯有
189#45313元/平米#罗阳七村(华宝小区)#闵行 梅陇 中环至外环#近1号线外环路站#房屋户型1室1厅1厨1卫#建筑面积41.71㎡#房屋朝向南#装修情况简装#配备电梯无
759#77394元/平米#东方知音苑#浦东 金杨 内环至中环#近6号线金桥路站#房屋户型2室2厅1厨1卫#建筑面积98.07㎡#房屋朝向南#装修情况简装#配备电梯有
618.9#74980元/平米#大华锦绣华城(四街区)#浦东 北蔡 内环至中环#近13号线华鹏路站#房屋户型3室2厅1厨2卫#建筑面积82.54㎡#房屋朝向南#装修情况精装#配备电梯无
680#61589元/平米#光鸿苑#浦东 南码头 内环至中环#近6号线临沂新村站#房屋户型3室2厅1厨2卫#建筑面积110.41㎡#房屋朝向南#装修情况精装#配备电梯无
650#50283元/平米#江南苑#闵行 莘庄 外环外#近1号线莘庄站#房屋户型3室2厅1厨2卫#建筑面积129.27㎡#房屋朝向南#装修情况精装#配备电梯无
488#40000元/平米#奥林匹克花园#松江 九亭 外环外##房屋户型3室2厅1厨2卫#建筑面积122㎡#房屋朝向南#装修情况精装#配备电梯有
488#39695元/平米#丽都城假日景苑#闵行 老闵行 外环外#近5号线金平路站#房屋户型3室2厅1厨2卫#建筑面积122.94㎡#房屋朝向南#装修情况精装#配备电梯有
475#30630元/平米#紫东新苑#松江 松江新城 外环外##房屋户型3室2厅1厨2卫#建筑面积155.08㎡#房屋朝向南 北#装修情况精装#配备电梯有
606#62772元/平米#陆家嘴红醍半岛(公寓)#闵行 浦江 外环外##房屋户型3室2厅1厨1卫#建筑面积96.54㎡#房屋朝向南#装修情况精装#配备电梯有
405#54407元/平米#银山小区#浦东 金杨 内环至中环#近9号线蓝天路站#房屋户型2室2厅1厨1卫#建筑面积74.44㎡#房屋朝向南#装修情况精装#配备电梯无
675#58080元/平米#白雪公主#闵行 七宝 外环外##房屋户型3室2厅1厨1卫#建筑面积116.22㎡#房屋朝向南#装修情况毛坯#配备电梯有
465#52489元/平米#金和佳园#浦东 金桥 中环至外环#近9号线台儿庄路站#房屋户型2室2厅1厨1卫#建筑面积88.59㎡#房屋朝向南#装修情况简装#配备电梯无
415#33903元/平米#成亿宝盛家苑#宝山 顾村 外环外##房屋户型3室2厅1厨2卫#建筑面积122.41㎡#房屋朝向南#装修情况精装#配备电梯有
532#59883元/平米#高海家苑#浦东 金桥 中环至外环#近6号线洲海路站#房屋户型2室2厅1厨1卫#建筑面积88.84㎡#房屋朝向南 北#装修情况精装#配备电梯有
450#59297元/平米#大华锦绣华城(二街区)#浦东 北蔡 内环至中环#近7号线杨高南路站#房屋户型2室1厅1厨1卫#建筑面积75.89㎡#房屋朝向南#装修情况简装#配备电梯有
760#60539元/平米#文化花园香榭丽苑#杨浦 五角场 中环至外环##房屋户型3室2厅1厨2卫#建筑面积125.54㎡#房屋朝向南#装修情况简装#配备电梯有
327#54839元/平米#金杨新村五街坊#浦东 金杨 内环至中环#近9号线蓝天路站#房屋户型2室1厅1厨1卫#建筑面积59.63㎡#房屋朝向南#装修情况精装#配备电梯无
385#49455元/平米#三林安居苑#浦东 三林 中环至外环#近11号线(嘉定北-迪士尼)三林东站#房屋户型3室1厅1厨1卫#建筑面积77.85㎡#房屋朝向南#装修情况简装#配备电梯无
348#49446元/平米#幸福新苑#静安 永和 中环至外环#近1号线彭浦新村站#房屋户型2室1厅1厨1卫#建筑面积70.38㎡#房屋朝向南#装修情况简装#配备电梯无
305#51047元/平米#大华二村#宝山 大华 内环至中环#近7号线大华三路站#房屋户型2室1厅1厨1卫#建筑面积59.75㎡#房屋朝向南#装修情况精装#配备电梯无
316#54064元/平米#水清年华花园#闵行 七宝 外环外#近9号线中春路站#房屋户型1室1厅1厨1卫#建筑面积58.45㎡#房屋朝向南#装修情况简装#配备电梯有
1260#75968元/平米#浦江名邸#虹口 临平路 内环内#近4号线海伦路站#房屋户型3室2厅1厨2卫#建筑面积165.86㎡#房屋朝向南#装修情况精装#配备电梯有
2150#77347元/平米#世茂滨江花园#浦东 陆家嘴 内环内#近9号线商城路站#房屋户型4室2厅1厨3卫#建筑面积277.97㎡#房屋朝向西南#装修情况精装#配备电梯有
188#39604元/平米#丰庄十二街坊#嘉定 丰庄 中环至外环#近13号线丰庄站#房屋户型1室1厅1厨1卫#建筑面积47.47㎡#房屋朝向南#装修情况简装#配备电梯无
320#66281元/平米#康乐小区(徐汇)#徐汇 康健 内环至中环#近1号线上海南站站#房屋户型2室1厅1厨1卫#建筑面积48.28㎡#房屋朝向南 北#装修情况精装#配备电梯无
176#47414元/平米#罗阳四村#闵行 梅陇 中环至外环##房屋户型1室1厅1厨1卫#建筑面积37.12㎡#房屋朝向南#装修情况精装#配备电梯无
408#83029元/平米#春申景城湖滨晨韵#闵行 春申 外环外##房屋户型1室1厅0厨1卫#建筑面积49.14㎡#房屋朝向南#装修情况精装#配备电梯有
268#49320元/平米#金利公寓#浦东 唐镇 外环外##房屋户型2室2厅1厨2卫#建筑面积54.34㎡#房屋朝向南#装修情况精装#配备电梯无
707#54917元/平米#曹杨五月天#普陀 真如 内环至中环#近11号线(花桥-三林)上海西站站#房屋户型3室2厅1厨2卫#建筑面积128.74㎡#房屋朝向南 北#装修情况精装#配备电梯有
1080#69804元/平米#中虹明珠苑#虹口 北外滩 内环内#近4号线临平路站#房屋户型3室2厅1厨1卫#建筑面积154.72㎡#房屋朝向南#装修情况精装#配备电梯有
1400#84231元/平米#世茂滨江花园#浦东 陆家嘴 内环内#近9号线商城路站#房屋户型2室2厅1厨2卫#建筑面积166.21㎡#房屋朝向西#装修情况精装#配备电梯有
327#56099元/平米#牡丹新村#闵行 七宝 外环外#近9号线七宝站#房屋户型2室1厅1厨1卫#建筑面积58.29㎡#房屋朝向南#装修情况精装#配备电梯无
2850#156809元/平米#滨江凯旋门#浦东 陆家嘴 内环内##房屋户型2室2厅1厨2卫#建筑面积181.75㎡#房屋朝向南#装修情况精装#配备电梯有
