apartment,area,date,decoration,lift,location1,location2,location3,month,orientation,price,underground,unit,village
2室2厅1厨1卫,84.18,2020-04-17,毛坯,无,奉贤,西渡,外环外,202004,南,180,,21383,巨龙台湾城
2室1厅1厨1卫,86.74,2020-04-16,简装,无,浦东,川沙,外环外,202004,南,415,近2号线华夏东路站,47845,顺馨佳园
3室2厅1厨2卫,121,2018-06-12,简装,有,浦东,金杨,内环至中环,201806,南,985,近6号线金桥路站,81405,东方知音苑
1室1厅1厨1卫,64.9,2020-04-11,精装,有,浦东,惠南,外环外,202004,南,162,,24962,民乐城丽园(北园)
3室1厅1厨1卫,81.99,2020-03-20,简装,无,奉贤,西渡,外环外,202003,南,175,近5号线西渡站,21345,鸿宝二村
3室2厅1厨2卫,175.45,2018-06-09,精装,有,静安,南京西路,内环内,201806,南 北,1888,,107610,国际丽都城
2室1厅1厨1卫,66.65,2020-04-06,精装,无,浦东,川沙,外环外,202004,南,275,近2号线川沙站,41261,园西二居
1室1厅1厨1卫,55.32,2020-04-11,精装,有,浦东,曹路,外环外,202004,南,225,,40673,海尚东苑
2室2厅1厨1卫,80.79,2020-04-12,精装,有,宝山,顾村,外环外,202004,东南,280,,34658,菊泉新城(菊泉街39弄)
2室2厅1厨1卫,107.95,2020-04-13,精装,有,普陀,长寿路,内环内,202004,南,917,,84947,秋水云庐
1室0厅1厨1卫,30.1,2020-04-16,简装,无,奉贤,西渡,外环外,202004,南,87,近5号线西渡站,28904,鸿宝一村(南区)
2室1厅1厨1卫,59.89,2019-09-02,简装,无,浦东,川沙,外环外,201909,南,199,近2号线华夏东路站,33228,新德三村
2室2厅1厨1卫,88.49,2019-06-03,简装,有,浦东,川沙,外环外,201906,南,430,,48594,东方城市绿洲
2室1厅1厨1卫,57.68,2020-04-17,精装,无,浦东,世博,内环至中环,202004,南,315,近6号线东明路站,54612,昌四小区
2室2厅0厨1卫,79.72,2020-04-02,精装,有,浦东,曹路,外环外,202004,南,345,,43277,星颂家园
2室1厅1厨1卫,57.11,2020-04-03,精装,无,浦东,金杨,内环至中环,202004,南 北,330,近6号线德平路站,57784,香山新村西北街坊
2室2厅1厨1卫,74.91,2020-04-06,精装,有,宝山,顾村,外环外,202004,南,320,,42718,古北菊翔苑(菊联路232弄)
3室2厅1厨1卫,88.35,2019-07-26,精装,有,金山,张堰,外环外,201907,南,310,,35088,海上纳缇
4室2厅1厨2卫,179.1,2020-04-06,简装,有,徐汇,田林,内环至中环,202004,东,850,近1号线漕宝路站,47460,田林体育公寓
1室1厅1厨1卫,38.7,2020-04-03,简装,无,徐汇,康健,内环至中环,202004,南,255,,65892,康乐小区(徐汇)
2室2厅1厨1卫,111.75,2018-11-23,精装,有,徐汇,斜土路,内环内,201811,南,870,近9号线嘉善路站,77853,嘉瑞花苑
3室2厅0厨1卫,90.69,2019-09-16,精装,暂无数据,浦东,惠南,外环外,201909,南,315,,34734,浦东颐景园
3室0厅1厨1卫,66.74,2020-02-26,简装,无,徐汇,康健,内环至中环,202002,东 西,445,近12号线虹漕路站,66677,上海师大新村
2室2厅1厨1卫,78.49,2020-04-10,简装,无,宝山,共富,中环至外环,202004,南,290,近1号线共富新村站,36948,共富一村
2室1厅1厨1卫,62.69,2020-04-17,精装,无,金山,金山,外环外,202004,南,94,,14995,山康花苑
3室1厅1厨2卫,86.8,2020-03-31,精装,无,浦东,川沙,外环外,202003,南,310,,35715,上浦小区
2室2厅1厨1卫,87,2020-04-15,精装,有,浦东,惠南,外环外,202004,南 北,275,,31610,宝业万华城
2室0厅1厨1卫,50.62,2020-01-03,精装,无,徐汇,田林,内环至中环,202001,南,402,近1号线漕宝路站,79416,田林十二村
2室1厅1厨1卫,94.41,2018-09-27,精装,有,普陀,长寿路,内环内,201809,南,599,近3号线镇坪路站,63447,康怡苑
1室1厅1厨1卫,58.51,2019-07-27,精装,有,浦东,高行,,201907,南,268,,45805,新高苑(二期)
3室1厅1厨1卫,93.24,2020-04-03,毛坯,无,浦东,川沙,外环外,202004,南,385,近2号线川沙站,41292,妙境一村
2室2厅1厨1卫,93.55,2019-11-30,简装,有,浦东,金杨,内环至中环,201911,南,813,近6号线云山路站,86906,云山星座苑
2室2厅1厨2卫,126.92,2019-08-11,精装,有,黄浦,董家渡,内环内,201908,南,1038,近9号线小南门站,81784,阳光翠竹苑
2室1厅1厨1卫,78.69,2020-03-23,精装,有,浦东,惠南,外环外,202003,南,208,,26433,惠益新苑
3室2厅1厨2卫,132.6,2020-03-29,精装,有,徐汇,康健,内环至中环,202003,北 南,1060,近1号线漕宝路站,79940,康惠苑
2室1厅0厨1卫,70.74,2019-09-22,精装,有,浦东,曹路,外环外,201909,南 北,277,,39158,中虹家园
2室2厅1厨1卫,99.3,2019-10-09,精装,有,浦东,金杨,内环至中环,201910,南,862,近6号线云山路站,86808,上海未来
2室1厅1厨1卫,74.45,2019-10-17,毛坯,有,浦东,川沙,外环外,201910,南,308,,41371,心圆西苑
3室2厅1厨2卫,147.28,2019-10-24,精装,有,徐汇,田林,内环至中环,201910,南 北,1280,近3号线漕溪路站,86910,爱建园
1室1厅1厨1卫,49.27,2019-11-01,简装,无,浦东,川沙,外环外,201911,南 北,208,,42217,新德佳苑
2室1厅0厨1卫,77.58,2019-11-03,简装,无,浦东,高行,中环至外环,201911,南,336,近12号线杨高北路站,43311,华高一村
2室2厅1厨1卫,86.76,2019-12-19,精装,有,宝山,顾村,外环外,201912,南,458,近7号线顾村公园站,52790,保利叶语(一期)(公寓)
3室2厅1厨1卫,104.99,2019-12-29,简装,无,浦东,川沙,外环外,201912,南,375,近2号线川沙站,35718,新川公寓
3室2厅1厨1卫,119.77,2020-01-12,精装,有,普陀,中远两湾城,内环内,202001,南,850,,70970,中远两湾城
2室1厅1厨0卫,83.47,2020-02-24,精装,有,徐汇,田林,内环至中环,202002,南,642,近9号线桂林路站,76914,长春新苑
2室1厅1厨1卫,86,2020-03-21,精装,无,徐汇,漕河泾,内环至中环,202003,南,540,近9号线桂林路站,62791,桂林苑
3室2厅1厨1卫,108.28,2020-04-17,毛坯,有,宝山,杨行,外环外,202004,南 北,450,近1号线富锦路站,41559,远洋香奈
3室2厅1厨2卫,116.85,2020-04-17,精装,有,普陀,真光,中环至外环,202004,东南,550,,47069,阳光威尼斯(四期)(公寓)
3室1厅1厨2卫,173.99,2019-11-11,精装,有,杨浦,新江湾城,中环至外环,201911,南 北,1450,近10号线(新江湾城-虹桥火车站)新江湾城站,83339,九龙仓玺园
2室1厅1厨1卫,53.27,2019-12-29,简装,无,徐汇,康健,内环至中环,201912,南 北,360,近1号线上海南站站,67581,康乐小区(徐汇)
1室1厅1厨1卫,35.38,2020-03-12,简装,无,徐汇,康健,内环至中环,202003,南,318,近1号线漕宝路站,89882,科苑新村
3室2厅1厨1卫,106.5,2020-04-15,精装,有,杨浦,东外滩,内环内,202004,南,790,近12号线江浦公园站,74179,嘉禄新苑
2室1厅1厨1卫,55.88,2020-04-16,精装,无,普陀,曹杨,内环至中环,202004,南,335,近11号线(嘉定北-迪士尼)枫桥路站,59950,曹杨三村(兰岭园)
4室2厅1厨2卫,165.73,2018-05-18,精装,有,浦东,陆家嘴,内环内,201805,南 西南,1420,近9号线商城路站,85682,江临天下
2室2厅1厨1卫,107.24,2019-02-19,简装,有,闵行,古美,中环至外环,201902,南,730,,68072,南方城
3室2厅1厨2卫,126.54,2019-06-04,简装,有,静安,大宁,内环至中环,201906,南 北,876,近1号线汶水路站,69228,明园森林都市
1室1厅1厨1卫,35.11,2019-05-02,简装,无,杨浦,东外滩,内环内,201905,南,215,近12号线宁国路站,61237,眉州路515弄
1室1厅1厨1卫,57.91,2020-04-05,其他,有,浦东,惠南,外环外,202004,南,153,,26421,惠益新苑
1室2厅1厨1卫,67.66,2019-08-18,精装,有,静安,南京西路,内环内,201908,南,688,,101685,艾格美国际公寓
2室0厅1厨1卫,44.87,2020-03-26,精装,无,浦东,潍坊,内环内,202003,南,305,近9号线商城路站,67975,潍坊三村
1室0厅1厨1卫,33.9,2020-04-01,简装,无,徐汇,康健,内环至中环,202004,南,254,,74927,花苑茶花园
3室2厅1厨2卫,129.91,2020-04-10,简装,有,闵行,金虹桥,中环至外环,202004,南,727,,55962,华光花园
3室2厅2厨1卫,127.73,2019-08-15,精装,有,浦东,曹路,外环外,201908,南 北,478,近9号线曹路站,37423,金钻苑南区
4室2厅1厨2卫,163.88,2020-04-14,精装,无,浦东,书院镇,外环外,202004,南 北,240,,14645,新舒苑
2室1厅1厨1卫,79.67,2020-04-16,简装,无,徐汇,龙华,内环至中环,202004,南 北,638,近1号线漕宝路站,80081,乾骏园
4室2厅1厨2卫,150.49,2020-04-18,精装,有,嘉定,嘉定新城,外环外,202004,南 北,540,,35883,保利湖畔阳光苑
2室2厅1厨1卫,87.84,2020-04-18,简装,有,浦东,北蔡,内环至中环,202004,南 北,520,近13号线陈春路站,59199,鹏健苑
2室2厅1厨1卫,96.79,2017-01-02,精装,有,浦东,高行,中环至外环,201701,南 北,470,,48559,幸福小镇
2室2厅1厨2卫,120.89,2018-05-15,精装,有,徐汇,衡山路,内环内,201805,南,1438,近1号线陕西南路站,118952,嘉丽苑(徐汇)
1室1厅1厨1卫,69.59,2018-06-01,精装,有,静安,西藏北路,内环内,201806,南,610,近3号线宝山路站,87657,复地新都国际
3室2厅1厨2卫,171.48,2018-07-02,精装,有,浦东,联洋,内环内,201807,南,1680,,97971,仁恒河滨城(一期)
