1210#97992元/平米#世茂滨江花园#浦东 陆家嘴 内环内#近9号线商城路站#房屋户型2室2厅1厨2卫#建筑面积123.48㎡#房屋朝向西#装修情况精装#配备电梯有#2019-07-17
360#39457元/平米#绿地蔷薇九里(公寓)#松江 松江大学城 外环外#近9号线松江大学城站#房屋户型3室2厅1厨1卫#建筑面积91.24㎡#房屋朝向南#装修情况精装#配备电梯有#2019-08-04
263#29887元/平米#丝庐雅苑(公寓)#浦东 新场 外环外##房屋户型2室2厅1厨1卫#建筑面积88㎡#房屋朝向南#装修情况毛坯#配备电梯有#2017-08-16
305#66769元/平米#友联大楼#长宁 中山公园 内环内#近3号线延安西路站#房屋户型1室1厅1厨1卫#建筑面积45.68㎡#房屋朝向南#装修情况精装#配备电梯有#2018-08-12
360#96827元/平米#音苑小区#徐汇 衡山路 内环内#近1号线常熟路站#房屋户型1室1厅1厨1卫#建筑面积37.18㎡#房屋朝向南#装修情况精装#配备电梯无#2018-09-01
278#36025元/平米#菊泉新城(陆翔路678弄)#宝山 顾村 外环外##房屋户型2室2厅1厨1卫#建筑面积77.17㎡#房屋朝向南 北#装修情况精装#配备电梯无#2019-06-15
898#83590元/平米#绿城上海御园#浦东 高行 中环至外环#近6号线东靖路站#房屋户型3室2厅1厨1卫#建筑面积107.43㎡#房屋朝向西南#装修情况精装#配备电梯有#2019-06-28
588#60990元/平米#华升公寓#杨浦 周家嘴路 内环内#近8号线江浦路站#房屋户型2室2厅1厨1卫#建筑面积96.41㎡#房屋朝向南#装修情况简装#配备电梯有#2019-07-15
266#34541元/平米#骏苑(二期)#闵行 颛桥 外环外##房屋户型2室2厅1厨1卫#建筑面积77.01㎡#房屋朝向南#装修情况简装#配备电梯有#2020-03-18
355#60252元/平米#金桥新村四街坊台儿庄小区#浦东 金桥 中环至外环#近6号线博兴路站#房屋户型2室1厅0厨1卫#建筑面积58.92㎡#房屋朝向南#装修情况简装#配备电梯无#2020-03-21
800#96607元/平米#东元坊#黄浦 蓬莱公园 内环内#近4号线南浦大桥站#房屋户型2室1厅1厨1卫#建筑面积82.81㎡#房屋朝向南#装修情况精装#配备电梯有#2020-03-21
600#121311元/平米#梅园四街坊#浦东 梅园 内环内#近2号线世纪大道站#房屋户型2室1厅1厨1卫#建筑面积49.46㎡#房屋朝向南#装修情况精装#配备电梯无#2020-03-21
435#88541元/平米#新里城和合苑#浦东 杨思前滩 内环至中环##房屋户型1室1厅0厨1卫#建筑面积49.13㎡#房屋朝向南#装修情况其他#配备电梯无#2020-03-22
350#88991元/平米#同济新村#杨浦 鞍山 内环内#近10号线(新江湾城-虹桥火车站)同济大学站#房屋户型2室0厅0厨1卫#建筑面积39.33㎡#房屋朝向南#装修情况简装#配备电梯无#2020-03-22
230#33533元/平米#崧泽华城秀景苑#青浦 赵巷 外环外##房屋户型2室2厅1厨1卫#建筑面积68.59㎡#房屋朝向南#装修情况精装#配备电梯有#2020-03-22
315#40458元/平米#桃浦二村永汇新苑#普陀 桃浦 外环外#近11号线(嘉定北-迪士尼)桃浦新村站#房屋户型2室2厅1厨1卫#建筑面积77.86㎡#房屋朝向南#装修情况简装#配备电梯无#2020-03-23
340#45004元/平米#新领地#浦东 花木 内环内#近2号线龙阳路站#房屋户型1室2厅1厨1卫#建筑面积75.55㎡#房屋朝向北#装修情况精装#配备电梯有#2020-03-23
362#54038元/平米#隆德小区#普陀 武宁 内环内##房屋户型2室1厅1厨1卫#建筑面积66.99㎡#房屋朝向北 南#装修情况精装#配备电梯有#2020-03-23
425#48572元/平米#阳光威尼斯(三期)#普陀 真光 中环至外环##房屋户型2室2厅1厨1卫#建筑面积87.5㎡#房屋朝向南#装修情况精装#配备电梯有#2020-03-23
216#49002元/平米#虹鹿花苑#闵行 金虹桥 中环至外环##房屋户型1室1厅1厨1卫#建筑面积44.08㎡#房屋朝向南 北#装修情况精装#配备电梯无#2020-03-23
215#47462元/平米#临沂六村#浦东 南码头 内环至中环#近6号线临沂新村站#房屋户型2室0厅1厨1卫#建筑面积45.3㎡#房屋朝向南#装修情况简装#配备电梯无#2020-03-23
850#81007元/平米#合生江湾国际公寓#杨浦 新江湾城 中环至外环##房屋户型2室2厅1厨1卫#建筑面积104.93㎡#房屋朝向南#装修情况精装#配备电梯有#2020-03-23
298#45552元/平米#杨镇新村#浦东 张江 内环至中环##房屋户型2室1厅1厨1卫#建筑面积65.42㎡#房屋朝向南#装修情况精装#配备电梯无#2020-03-23
472#46947元/平米#经纬学府涵青花园(二期)#宝山 上大 ##房屋户型2室2厅0厨1卫#建筑面积100.54㎡#房屋朝向南#装修情况精装#配备电梯有#2020-03-24
265#47895元/平米#文宝苑#宝山 顾村 外环外#近7号线顾村公园站#房屋户型1室1厅1厨1卫#建筑面积55.33㎡#房屋朝向南#装修情况精装#配备电梯有#2020-03-24
378#64660元/平米#天山二村#长宁 中山公园 内环至中环#近2号线娄山关路站#房屋户型2室0厅1厨1卫#建筑面积58.46㎡#房屋朝向南 北#装修情况其他#配备电梯无#2020-03-25
200#38432元/平米#菊泉新城(陆翔路358弄)#宝山 顾村 外环外#近7号线顾村公园站#房屋户型1室1厅1厨1卫#建筑面积52.04㎡#房屋朝向南#装修情况简装#配备电梯无#2020-03-25
305#38918元/平米#馨佳园(韶山路418弄)#宝山 顾村 外环外##房屋户型2室1厅1厨1卫#建筑面积78.37㎡#房屋朝向南 北#装修情况精装#配备电梯有#2020-03-25
223#46585元/平米#凌兆新村(上浦路69弄)#浦东 三林 中环至外环##房屋户型1室1厅1厨1卫#建筑面积47.87㎡#房屋朝向南#装修情况其他#配备电梯无#2020-03-26
221#41101元/平米#汇丰沁苑#嘉定 江桥 外环外##房屋户型1室1厅0厨1卫#建筑面积53.77㎡#房屋朝向南#装修情况简装#配备电梯有#2020-03-26
250#43837元/平米#三林世博家园(大道站路94弄)#浦东 杨思前滩 内环至中环##房屋户型1室1厅1厨1卫#建筑面积57.03㎡#房屋朝向南#装修情况简装#配备电梯无#2020-03-27
482#63272元/平米#御桥花园#浦东 御桥 中环至外环#近11号线(花桥-迪士尼)御桥站#房屋户型2室2厅1厨1卫#建筑面积76.18㎡#房屋朝向南 北#装修情况精装#配备电梯无#2020-03-28
410#65246元/平米#都市星城#闵行 莘庄 外环外#近5号线春申路站#房屋户型1室2厅1厨1卫#建筑面积62.84㎡#房屋朝向南#装修情况精装#配备电梯有#2020-03-28
298#52098元/平米#市光三村#杨浦 中原 中环至外环#近8号线市光路站#房屋户型2室1厅1厨1卫#建筑面积57.2㎡#房屋朝向南#装修情况精装#配备电梯无#2020-03-28
360#47226元/平米#阳光威尼斯(三期)#普陀 真光 中环至外环##房屋户型1室2厅1厨1卫#建筑面积76.23㎡#房屋朝向西 南#装修情况简装#配备电梯有#2020-03-29
470#46678元/平米#阳光威尼斯AB区#普陀 真光 中环至外环##房屋户型2室2厅1厨1卫#建筑面积100.69㎡#房屋朝向南 北#装修情况精装#配备电梯有#2020-03-29
730#78495元/平米#康健丽都#闵行 古美 中环至外环##房屋户型2室2厅1厨1卫#建筑面积93㎡#房屋朝向南#装修情况精装#配备电梯有#2020-03-29
249#50890元/平米#齐爱佳苑#浦东 唐镇 外环外#近2号线唐镇站#房屋户型2室1厅1厨1卫#建筑面积48.93㎡#房屋朝向南#装修情况精装#配备电梯无#2020-03-30
535#57608元/平米#御桥花园#浦东 御桥 中环至外环#近11号线(花桥-迪士尼)御桥站#房屋户型2室1厅1厨1卫#建筑面积92.87㎡#房屋朝向南#装修情况精装#配备电梯有#2020-03-30
250#31986元/平米#桃源艺筑#浦东 惠南 外环外##房屋户型2室2厅1厨1卫#建筑面积78.16㎡#房屋朝向南#装修情况精装#配备电梯有#2020-03-30
308#64706元/平米#新风小区#长宁 中山公园 内环至中环#近2号线娄山关路站#房屋户型2室1厅1厨1卫#建筑面积47.6㎡#房屋朝向南#装修情况简装#配备电梯无#2020-03-30
280#33318元/平米#龙湖好望山(公寓)#松江 松江大学城 外环外#近9号线松江大学城站#房屋户型1室2厅1厨1卫#建筑面积84.04㎡#房屋朝向南#装修情况其他#配备电梯有#2020-03-30
284#48941元/平米#浦江世博家园八街坊#闵行 浦江 外环外##房屋户型1室1厅1厨1卫#建筑面积58.03㎡#房屋朝向南#装修情况简装#配备电梯有#2020-03-30
189#34098元/平米#金硕河畔景园南区#闵行 浦江 #近浦江线闵瑞路站#房屋户型1室1厅0厨1卫#建筑面积55.43㎡#房屋朝向南#装修情况精装#配备电梯有#2020-03-30
185#40678元/平米#丰庄六街坊#普陀 长征 中环至外环#近13号线祁连山南路站#房屋户型1室1厅1厨1卫#建筑面积45.48㎡#房屋朝向南#装修情况简装#配备电梯无#2020-03-30
280#38895元/平米#金地艺境(宝山)#宝山 上大 外环外##房屋户型2室1厅0厨1卫#建筑面积71.99㎡#房屋朝向南#装修情况精装#配备电梯有#2020-03-31
420#61929元/平米#金鹏苑#浦东 金桥 中环至外环#近6号线金桥路站#房屋户型2室1厅1厨1卫#建筑面积67.82㎡#房屋朝向南#装修情况精装#配备电梯无#2020-03-31
350#49213元/平米#金都花好悦园#闵行 颛桥 外环外#近5号线银都路站#房屋户型2室1厅1厨1卫#建筑面积71.12㎡#房屋朝向南 北#装修情况简装#配备电梯无#2020-04-01
380#49014元/平米#虹莘新村#闵行 古美 中环至外环#近12号线虹莘路站#房屋户型2室1厅1厨1卫#建筑面积77.53㎡#房屋朝向南#装修情况简装#配备电梯无#2020-04-01
